,date,max_dew_point_v,max_dew_point_s,max_dew_point_c,max_dew_point_d,max_relative_humidity_v,max_relative_humidity_s,max_relative_humidity_c,max_relative_humidity_d,max_temperature_v,max_temperature_s,max_temperature_c,max_temperature_d,max_wind_speed_v,max_wind_speed_s,max_wind_speed_c,max_wind_speed_d,min_dew_point_v,min_dew_point_s,min_dew_point_c,min_dew_point_d,min_relative_humidity_v,min_relative_humidity_s,min_relative_humidity_c,min_relative_humidity_d,min_temperature_v,min_temperature_s,min_temperature_c,min_temperature_d,min_wind_speed_v,min_wind_speed_s,min_wind_speed_c,min_wind_speed_d,precipitation_v,precipitation_s,precipitation_c,precipitation_d,rain_v,rain_s,rain_c,rain_d,snow_v,snow_s,snow_c,snow_d,snow_on_ground_v,snow_on_ground_s,snow_on_ground_c,snow_on_ground_d,solar_radiation_v,solar_radiation_s,solar_radiation_c,solar_radiation_d
0,2023-12-14,5.37,3.31,450,1993-12-07 2022-12-21,96.65,6.21,450,1993-12-07 2022-12-21,7.98,2.66,450,1993-12-07 2022-12-21,20.66,12.35,450,1993-12-07 2022-12-21,1.71,4.37,450,1993-12-07 2022-12-21,78.78,15.77,450,1993-12-07 2022-12-21,2.5,3.48,450,1993-12-07 2022-12-21,3.88,6.05,450,1993-12-07 2022-12-21,15.86,21.37,444,1993-12-07 2022-12-21,15.69,21.38,444,1993-12-07 2022-12-21,0.17,1.24,444,1993-12-07 2022-12-21,0.2,1.12,434,1993-12-07 2022-12-21,,,,
1,2023-12-13,5.39,3.4,450,1993-12-06 2022-12-20,96.5,6.89,450,1993-12-06 2022-12-20,8.04,2.62,450,1993-12-06 2022-12-20,20.6,12.53,450,1993-12-06 2022-12-20,1.74,4.44,450,1993-12-06 2022-12-20,78.77,15.98,450,1993-12-06 2022-12-20,2.49,3.48,450,1993-12-06 2022-12-20,3.83,5.97,450,1993-12-06 2022-12-20,15.79,21.41,444,1993-12-06 2022-12-20,15.62,21.42,444,1993-12-06 2022-12-20,0.17,1.24,444,1993-12-06 2022-12-20,0.2,0.94,432,1993-12-06 2022-12-20,,,,
2,2023-12-12,5.39,3.34,450,1993-12-05 2022-12-19,96.56,6.76,450,1993-12-05 2022-12-19,8.06,2.61,450,1993-12-05 2022-12-19,20.38,12.47,450,1993-12-05 2022-12-19,1.67,4.34,450,1993-12-05 2022-12-19,78.56,15.98,450,1993-12-05 2022-12-19,2.4,3.43,450,1993-12-05 2022-12-19,3.59,5.58,450,1993-12-05 2022-12-19,15.67,21.39,443,1993-12-05 2022-12-19,15.52,21.38,443,1993-12-05 2022-12-19,0.16,1.1,443,1993-12-05 2022-12-19,0.1,0.85,429,1993-12-05 2022-12-19,,,,
3,2023-12-11,5.4,3.21,450,1993-12-04 2022-12-18,96.7,6.21,450,1993-12-04 2022-12-18,8.1,2.53,450,1993-12-04 2022-12-18,20.16,12.54,450,1993-12-04 2022-12-18,1.67,4.19,450,1993-12-04 2022-12-18,78.23,15.87,450,1993-12-04 2022-12-18,2.33,3.46,450,1993-12-04 2022-12-18,3.46,5.58,450,1993-12-04 2022-12-18,14.9,20.79,443,1993-12-04 2022-12-18,14.76,20.77,443,1993-12-04 2022-12-18,0.14,1.04,443,1993-12-04 2022-12-18,0.1,0.84,427,1993-12-04 2022-12-18,,,,
4,2023-12-10,5.42,3.16,450,1993-12-03 2022-12-17,96.88,5.95,450,1993-12-03 2022-12-17,8.11,2.47,450,1993-12-03 2022-12-17,19.65,12.5,450,1993-12-03 2022-12-17,1.7,4.1,450,1993-12-03 2022-12-17,78.54,15.46,450,1993-12-03 2022-12-17,2.24,3.48,450,1993-12-03 2022-12-17,3.32,5.41,450,1993-12-03 2022-12-17,14.52,20.53,443,1993-12-03 2022-12-17,14.38,20.52,443,1993-12-03 2022-12-17,0.14,1.02,443,1993-12-03 2022-12-17,0.1,0.78,426,1993-12-03 2022-12-17,,,,
5,2023-12-09,5.41,3.16,450,1993-12-02 2022-12-16,96.98,5.82,450,1993-12-02 2022-12-16,8.14,2.48,450,1993-12-02 2022-12-16,19.2,12.47,450,1993-12-02 2022-12-16,1.66,4.04,450,1993-12-02 2022-12-16,78.36,15.49,450,1993-12-02 2022-12-16,2.19,3.45,450,1993-12-02 2022-12-16,3.16,5.32,450,1993-12-02 2022-12-16,13.98,20.45,443,1993-12-02 2022-12-16,13.85,20.43,443,1993-12-02 2022-12-16,0.14,1.02,443,1993-12-02 2022-12-16,0.1,0.9,425,1993-12-02 2022-12-16,,,,
6,2023-12-08,5.41,3.16,450,1993-12-01 2022-12-15,96.94,5.87,450,1993-12-01 2022-12-15,8.16,2.49,450,1993-12-01 2022-12-15,19.32,12.49,450,1993-12-01 2022-12-15,1.59,4.01,450,1993-12-01 2022-12-15,78.11,15.4,450,1993-12-01 2022-12-15,2.16,3.42,450,1993-12-01 2022-12-15,3.16,5.37,450,1993-12-01 2022-12-15,13.93,20.79,442,1993-12-01 2022-12-15,13.79,20.78,442,1993-12-01 2022-12-15,0.14,1.04,442,1993-12-01 2022-12-15,0.1,0.91,423,1993-12-01 2022-12-15,,,,
7,2023-12-07,5.5,3.15,450,1993-11-30 2022-12-14,97.09,5.59,450,1993-11-30 2022-12-14,8.21,2.49,450,1993-11-30 2022-12-14,19.06,12.43,450,1993-11-30 2022-12-14,1.65,3.99,450,1993-11-30 2022-12-14,78.02,15.42,450,1993-11-30 2022-12-14,2.2,3.47,450,1993-11-30 2022-12-14,2.98,5.11,450,1993-11-30 2022-12-14,13.14,19.62,443,1993-11-30 2022-12-14,13.0,19.61,443,1993-11-30 2022-12-14,0.13,1.03,443,1993-11-30 2022-12-14,0.1,0.95,423,1993-11-30 2022-12-14,,,,
8,2023-12-06,5.59,3.21,450,1993-11-29 2022-12-13,97.09,5.62,450,1993-11-29 2022-12-13,8.27,2.52,450,1993-11-29 2022-12-13,19.17,12.45,450,1993-11-29 2022-12-13,1.73,4.09,450,1993-11-29 2022-12-13,78.13,15.61,450,1993-11-29 2022-12-13,2.28,3.56,450,1993-11-29 2022-12-13,2.97,5.08,450,1993-11-29 2022-12-13,13.35,19.69,442,1993-11-29 2022-12-13,13.22,19.68,442,1993-11-29 2022-12-13,0.13,0.98,442,1993-11-29 2022-12-13,0.1,0.81,421,1993-11-29 2022-12-13,,,,
9,2023-12-05,5.6,3.3,450,1993-11-28 2022-12-12,97.02,5.79,450,1993-11-28 2022-12-12,8.32,2.51,450,1993-11-28 2022-12-12,18.96,12.28,450,1993-11-28 2022-12-12,1.78,4.06,450,1993-11-28 2022-12-12,77.97,15.59,450,1993-11-28 2022-12-12,2.26,3.6,450,1993-11-28 2022-12-12,3.01,5.13,450,1993-11-28 2022-12-12,13.43,19.77,443,1993-11-28 2022-12-12,13.31,19.76,443,1993-11-28 2022-12-12,0.12,0.88,443,1993-11-28 2022-12-12,0.1,0.81,422,1993-11-28 2022-12-12,,,,
